Borehole_Number,Longitude_deg,Latitude_deg,Depth_m,Sand_Bottom_m,Drilled_Depth_m,Predicted_Susceptibility_SI,Observed_Susceptibility_SI_if_available,Nearest_Active_Cell_ID,Distance_to_Nearest_Cell_Centre_m,Cell_X_m,Cell_Y_m,Cell_Z_m,Susceptibility_Source
RBGUT-05,72.416023,25.597145,111,111,140,0.0018212,0.0018212,1908856,23.97015844,-425,225,-110.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,112,111,140,0.00222312,0.00222312,1899056,23.97015844,-425,225,-112.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,113,111,140,0.00140672,0.00092944,1894156,23.97015844,-425,225,-113.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,114,111,140,0.00140672,0.001884,1894156,23.97015844,-425,225,-113.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,115,111,140,0.00159512,0.00159512,1889256,23.97015844,-425,225,-114.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,116,111,140,0.0011304,0.0011304,1879456,23.97015844,-425,225,-116.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,117,111,140,0.00192796,0.00123088,1874556,23.97015844,-425,225,-117.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,118,111,140,0.00192796,0.00262504,1874556,23.97015844,-425,225,-117.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,119,111,140,0.0025748,0.0025748,1869656,23.97015844,-425,225,-118.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,120,111,140,0.00499888,0.00334096,1859856,23.97015844,-425,225,-120.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,121,111,140,0.00499888,0.0066568,1859856,23.97015844,-425,225,-120.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,122,111,140,0.0082896,0.0065312,1850056,23.97015844,-425,225,-122.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,123,111,140,0.0082896,0.010048,1850056,23.97015844,-425,225,-122.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,124,111,140,0.0023864,0.0023864,1840256,23.97015844,-425,225,-124.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,125,111,140,0.00802584,0.00148208,1835356,23.97015844,-425,225,-125.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,126,111,140,0.00802584,0.0145696,1835356,23.97015844,-425,225,-125.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,127,111,140,0.0204728,0.0204728,1825556,23.97015844,-425,225,-127.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,128,111,140,0.0184632,0.0184632,1820656,23.97015844,-425,225,-128.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,129,111,140,0.0174584,0.0174584,1815756,23.97015844,-425,225,-129.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,130,111,140,0.0373032,0.0373032,1810856,23.97015844,-425,225,-130.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,131,111,140,0.0388104,0.0388104,1805956,23.97015844,-425,225,-131.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,132,111,140,0.024178,0.0314,1801056,23.97015844,-425,225,-132.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,133,111,140,0.024178,0.016956,1801056,23.97015844,-425,225,-132.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,134,111,140,0.0319652,0.03768,1791256,23.97015844,-425,225,-134.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,135,111,140,0.0319652,0.0262504,1791256,23.97015844,-425,225,-134.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,136,111,140,0.1147984,0.1242184,1781456,23.97015844,-425,225,-136.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,137,111,140,0.1147984,0.1053784,1781456,23.97015844,-425,225,-136.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,138,111,140,0.0679496,0.0679496,1776556,23.97015844,-425,225,-137.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,139,111,140,0.158256,0.190912,1766756,23.97015844,-425,225,-139.5,Predicted_from_recovered_3D_model
RBGUT-05,72.416023,25.597145,140,111,140,0.158256,0.1256,1766756,23.97015844,-425,225,-139.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,0,0,125,0.051011543,,2253915,10.02018948,-775,-325,-7.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,1,0,125,0.051011543,0.0386848,2253915,9.295385806,-775,-325,-7.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,2,0,125,0.051011543,0.0651864,2253915,8.625786763,-775,-325,-7.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,3,0,125,0.051011543,0.03454,2253915,8.025222569,-775,-325,-7.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,4,0,125,0.051011543,0.0641816,2253915,7.510272783,-775,-325,-7.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,5,0,125,0.051011543,0.0720944,2253915,7.099591346,-775,-325,-7.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,6,0,125,0.051011543,0.0616696,2253915,6.81206263,-775,-325,-7.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,7,0,125,0.051011543,0.020724,2253915,6.663647446,-775,-325,-7.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,8,0,125,0.04082,0.04082,2253845,6.663647446,-775,-325,-8.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,9,0,125,0.0311488,0.0311488,2253758,6.663647446,-775,-325,-9.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,10,0,125,0.01611448,0.0214776,2253661,6.663647446,-775,-325,-10.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,11,0,125,0.01611448,0.01075136,2253661,6.663647446,-775,-325,-10.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,12,0,125,0.00906832,0.00906832,2253435,6.663647446,-775,-325,-12.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,13,0,125,0.01256,0.01256,2253302,6.663647446,-775,-325,-13.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,14,0,125,0.033912,0.033912,2253154,6.663647446,-775,-325,-14.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,15,0,125,0.0437088,0.0437088,2252994,6.663647446,-775,-325,-15.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,16,0,125,0.0464092,0.0542592,2252816,6.663647446,-775,-325,-16.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,17,0,125,0.0464092,0.0385592,2252816,6.663647446,-775,-325,-16.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,18,0,125,0.0399408,0.0399408,2252412,6.663647446,-775,-325,-18.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,19,0,125,0.0275692,0.0254968,2252179,6.663647446,-775,-325,-19.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,20,0,125,0.0275692,0.0296416,2252179,6.663647446,-775,-325,-19.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,21,0,125,0.0154488,0.0154488,2251661,6.663647446,-775,-325,-21.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,22,0,125,0.0400664,0.0400664,2251361,6.663647446,-775,-325,-22.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,23,0,125,0.0269412,0.0170816,2251017,6.663647446,-775,-325,-23.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,24,0,125,0.0269412,0.0368008,2251017,6.663647446,-775,-325,-23.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,25,0,125,0.1345176,0.146952,2250173,6.663647446,-775,-325,-25.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,26,0,125,0.1345176,0.1220832,2250173,6.663647446,-775,-325,-25.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,27,0,125,0.046472,0.046472,2249037,6.663647446,-775,-325,-27.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,28,0,125,0.0993496,0.0993496,2248302,6.663647446,-775,-325,-28.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,29,0,125,0.0625488,0.0625488,2247457,6.663647446,-775,-325,-29.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,30,0,125,0.022294,0.0316512,2246469,6.663647446,-775,-325,-30.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,31,0,125,0.022294,0.0129368,2246469,6.663647446,-775,-325,-30.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,32,0,125,0.0316512,0.0316512,2244065,6.663647446,-775,-325,-32.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,33,0,125,0.0415736,0.0415736,2242653,6.663647446,-775,-325,-33.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,34,0,125,0.0523752,0.0523752,2241088,6.663647446,-775,-325,-34.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,35,0,125,0.0283856,0.0283856,2239377,6.663647446,-775,-325,-35.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,36,0,125,0.02265196,0.01214552,2237513,6.663647446,-775,-325,-36.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,37,0,125,0.02265196,0.0331584,2237513,6.663647446,-775,-325,-36.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,38,0,125,0.0113668,0.0113668,2235484,6.663647446,-775,-325,-37.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,39,0,125,0.013188,0.013188,2230902,6.663647446,-775,-325,-39.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,40,0,125,0.038308,0.060288,2228307,6.663647446,-775,-325,-40.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,41,0,125,0.038308,0.016328,2228307,6.663647446,-775,-325,-40.5,Predicted_from_recovered_3D_model
